Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18
Gene141	0	1	1	15	0	2	0	1	4	3	3	0	13	2	4	0	0	6
Gene142	30	2	2	22	44	48	14	19	12	76	34	53	3	33	32	51	49	78
Gene143	69	78	226	61	15	46	40	123	109	63	87	62	67	39	11	76	166	55
Gene144	22	14	48	57	52	24	8	30	59	27	42	16	29	47	49	31	0	28
Gene145	12	29	4	8	12	4	3	18	1	10	9	20	38	30	10	16	2	10
Gene146	0	4	6	7	5	1	8	4	19	1	0	2	3	9	3	2	4	10
Gene147	219	168	20	66	139	37	149	166	54	17	54	19	2	21	18	37	35	217
Gene148	10	38	6	17	0	16	13	17	15	17	14	22	20	24	1	4	14	7
Gene149	18	18	7	17	10	33	2	12	4	18	22	84	12	27	23	22	0	14
Gene150	24	16	14	9	24	0	17	22	1	7	0	1	6	4	2	1	9	25
Gene151	0	2	0	1	3	1	8	0	0	3	0	0	3	0	18	10	5	0
Gene152	72	29	10	56	28	2	53	51	41	8	4	6	1	4	18	6	23	35
Gene153	40	17	33	42	7	9	54	52	50	12	9	7	14	11	0	16	10	23
Gene154	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7
Gene155	45	43	34	26	39	72	62	59	5	111	192	137	105	256	101	220	269	52
Gene156	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0
Gene157	40	11	3	9	32	96	20	47	19	99	35	38	1	74	87	53	79	15
Gene158	127	190	156	80	7	75	56	116	117	117	161	94	93	82	13	106	76	40
Gene159	1	4	10	17	1	0	0	1	2	1	2	9	5	2	0	10	0	5
Gene160	334	416	384	413	314	610	343	310	19	412	1024	776	1194	693	467	183	757	457
Gene161	0	8	22	11	22	55	17	25	35	3	4	63	39	19	84	132	27	13
Gene162	32	82	7	90	72	65	90	126	72	93	37	71	0	69	92	57	24	65
Gene163	0	24	1	0	0	0	0	3	0	0	1	3	0	0	0	0	0	0
Gene164	4	0	9	3	0	38	0	0	6	80	40	38	39	0	10	62	1	13
Gene165	34	19	38	11	10	20	26	6	1	17	18	14	45	41	18	33	24	9
Gene166	1	0	7	9	7	0	3	14	40	0	1	0	5	0	0	1	0	4
Gene167	141	43	12	127	157	285	102	103	97	374	268	412	18	296	687	383	405	97
Gene168	5	3	5	7	1	22	4	6	3	48	8	29	10	9	3	5	32	11
Gene169	19	12	4	5	9	3	0	5	14	10	29	20	7	4	35	6	2	2
Gene170	611	304	149	419	230	42	296	104	34	102	96	103	194	74	83	91	72	278
Gene171	42	311	419	565	763	738	477	622	436	295	59	458	644	813	443	495	368	501
Gene172	18	4	0	9	0	21	11	23	16	24	19	12	1	4	20	31	15	14
Gene173	10	18	31	8	2	4	3	54	31	9	1	13	4	1	0	2	9	18
Gene174	32	59	71	19	43	159	5	38	9	169	176	419	72	140	247	152	21	25
Gene175	19	10	20	7	4	2	22	6	1	0	3	5	24	38	18	4	8	7
Gene176	1	11	17	12	13	50	9	6	8	16	3	27	32	64	25	75	25	38
Gene177	33	8	5	37	37	63	27	22	23	28	59	38	1	34	54	34	89	17
Gene178	6	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	6	6
Gene179	35	1	15	14	17	31	1	12	36	44	89	69	66	51	26	7	11	44
Gene180	54	46	30	29	23	7	27	29	3	8	19	46	7	32	20	23	45	23
Gene181	70	528	374	767	876	393	948	627	558	401	37	338	330	419	224	185	583	743
Gene182	51	22	1	25	16	84	74	65	38	103	65	37	9	39	58	50	105	36
Gene183	22	9	22	9	2	10	16	19	14	7	4	4	3	9	1	6	6	14
Gene184	40	64	19	31	46	90	6	12	21	58	63	128	96	91	71	93	8	14
Gene185	22	19	22	19	19	162	20	18	4	52	72	108	90	83	90	115	155	39
Gene186	1	5	36	19	19	3	2	12	9	3	0	13	14	18	5	3	10	39
Gene187	21	15	0	2	7	16	1	3	3	2	10	2	0	6	1	17	11	1
Gene188	5	13	23	23	1	64	3	16	6	12	43	17	14	4	0	8	48	52
Gene189	46	42	15	11	40	107	4	4	42	205	85	63	76	79	202	109	5	14
Gene190	13	14	13	22	12	8	9	6	1	11	24	30	15	1	3	12	10	3
Gene191	1	6	12	2	1	19	4	19	0	2	0	5	8	12	14	20	18	22
Gene192	8	2	0	1	1	1	4	9	1	12	7	0	1	0	0	2	1	2
Gene193	35	100	41	62	3	148	128	116	85	148	85	193	218	69	13	102	253	63
Gene194	5	2	1	13	12	29	1	0	38	8	8	13	6	8	22	12	1	11
Gene195	0	0	0	2	0	0	1	1	0	0	0	0	0	33	4	0	0	0
Gene196	12	91	81	167	191	178	91	86	86	65	11	61	65	183	136	61	58	114
Gene197	41	8	2	19	29	115	19	9	2	45	44	91	14	150	69	156	68	13
Gene198	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0
Gene199	8	0	4	3	3	6	0	4	5	78	30	12	19	52	2	21	0	1
Gene200	33	20	5	2	9	15	9	15	1	5	16	10	5	3	6	16	6	8
Gene201	1	7	13	26	5	2	14	11	18	1	0	1	0	3	2	0	5	16
Gene202	117	42	7	54	36	61	105	152	91	59	74	27	1	34	54	45	62	167
Gene203	126	170	302	291	9	424	379	349	320	115	129	149	285	216	31	248	190	106
Gene204	6	24	13	2	8	2	1	14	1	10	11	2	4	9	1	4	0	2
Gene205	23	24	9	16	12	26	6	15	0	58	179	65	124	171	86	270	123	8
Gene206	1	8	47	8	29	5	1	40	18	2	0	2	10	2	4	4	2	24
Gene207	53	51	7	28	87	16	86	25	65	17	30	38	3	11	41	25	38	48
Gene208	2	17	7	0	1	2	23	1	5	1	5	6	5	0	2	1	5	1
Gene209	3	3	4	0	0	7	2	7	3	0	3	3	1	6	17	2	1	1
Gene210	41	14	12	30	13	26	26	19	1	18	23	39	56	30	26	37	24	58
Gene211	0	1	1	24	4	3	5	2	0	3	3	12	17	59	6	6	6	1
Gene212	12	6	1	10	8	17	5	11	4	6	4	5	2	1	23	16	28	11
Gene213	17	17	17	10	0	2	8	3	8	1	0	4	6	7	0	0	4	14
Gene214	4	0	4	0	16	0	0	18	1	1	0	0	0	0	2	0	0	15
Gene215	1	1	0	3	0	0	4	0	0	0	0	7	5	0	0	1	3	16
Gene216	1	6	4	4	3	2	0	1	4	2	0	0	2	4	0	0	1	0
Gene217	1	15	0	8	4	1	16	15	6	2	0	0	1	3	1	1	5	48
Gene218	6	4	16	5	0	46	16	19	6	51	14	127	203	7	4	17	18	9
Gene219	49	90	53	45	37	161	3	35	113	266	369	252	169	140	202	100	26	45
Gene220	34	42	44	132	95	21	105	64	3	28	13	25	18	33	1	46	33	24
Gene221	1	21	20	3	13	12	3	15	23	2	3	17	59	23	28	24	11	21
Gene222	10	0	1	17	12	17	4	10	2	8	4	7	0	15	4	0	6	4
Gene223	101	133	171	82	6	45	125	56	91	37	44	35	79	33	2	83	43	76
Gene224	117	58	93	87	42	352	11	63	39	301	181	548	367	307	378	123	31	47
Gene225	16	7	3	11	1	1	5	2	0	1	9	1	2	1	0	15	14	2
Gene226	3	48	87	92	77	268	45	118	57	241	39	328	411	339	259	294	250	64
Gene227	9	19	1	30	95	8	31	36	12	10	35	13	1	9	4	28	14	13
Gene228	1	2	0	0	0	1	3	0	0	0	0	0	5	0	0	1	0	1
Gene229	31	20	30	155	22	7	1	23	36	1	8	5	5	4	11	6	0	15
Gene230	17	18	6	25	12	8	11	30	2	1	4	3	6	1	5	2	5	10
Gene231	17	52	69	50	47	51	81	78	132	40	1	34	32	40	68	65	79	193
Gene232	38	5	2	21	37	69	50	10	17	101	72	47	3	22	160	75	81	33
Gene233	3	7	23	5	1	2	6	4	41	19	6	5	7	2	1	12	15	12
Gene234	5	0	0	0	0	7	0	5	0	4	2	3	2	0	0	7	0	2
Gene235	53	43	41	47	71	70	75	23	4	115	109	50	215	145	87	190	231	42
Gene236	1	10	11	2	20	33	2	20	6	6	3	15	14	52	24	18	33	6
Gene237	125	98	7	98	144	31	139	128	93	34	42	24	7	16	51	32	25	153
Gene238	36	29	17	22	2	11	18	19	27	34	11	31	3	11	0	8	11	36
Gene239	9	37	15	22	20	90	0	17	39	200	234	113	87	54	164	39	5	6
Gene240	9	18	13	10	15	2	7	9	0	5	5	1	8	5	17	23	8	5
Gene241	3	29	76	69	46	79	26	35	56	134	4	103	187	127	216	156	146	66
Gene242	18	6	0	2	7	30	2	8	14	4	12	22	1	3	12	8	8	15
Gene243	54	67	24	31	3	34	24	45	45	14	19	8	16	22	2	3	29	12
Gene244	19	2	4	1	10	12	0	14	18	3	31	1	32	15	7	6	2	10
Gene245	0	0	2	12	3	0	1	0	1	2	5	5	2	6	3	9	0	1
Gene246	6	58	90	105	38	157	70	19	45	150	13	56	234	159	192	137	22	44
Gene247	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0
Gene248	24	28	10	10	0	7	63	43	21	24	4	21	24	22	3	16	17	16
Gene249	0	0	4	3	1	0	1	1	8	1	7	4	0	5	10	0	0	3
Gene250	15	18	72	12	4	31	13	9	1	5	5	26	3	10	10	6	6	22
Gene251	3	35	42	34	57	23	33	25	25	55	1	44	41	52	40	84	24	28
Gene252	60	8	2	21	15	48	61	52	15	67	153	31	9	81	103	71	46	29
Gene253	15	10	30	23	5	14	25	19	36	46	6	42	31	29	1	23	11	26
Gene254	86	67	44	85	47	1	5	34	55	3	5	5	1	2	0	3	0	35
Gene255	18	20	34	50	8	5	32	15	2	22	28	34	18	45	27	14	13	12
Gene256	11	75	83	105	116	123	57	149	71	328	17	58	160	138	159	133	100	64
Gene257	24	10	4	17	18	4	23	16	32	24	24	6	1	4	15	10	3	15
Gene258	46	102	21	61	6	197	48	45	40	98	58	52	54	47	3	151	62	43
Gene259	4	2	1	0	1	5	0	2	12	5	2	0	0	0	3	0	0	1
Gene260	18	9	16	7	2	2	25	8	4	0	8	5	6	6	5	4	10	19
Gene261	3	1	8	41	13	21	12	6	6	5	0	1	8	0	6	0	5	14
Gene262	2	0	0	0	2	0	1	2	2	0	0	0	0	0	0	0	0	0
Gene263	16	17	35	20	6	13	75	21	32	10	6	12	9	1	1	8	4	5
Gene264	3	8	6	23	15	13	0	3	13	35	10	8	17	4	3	32	1	5
Gene265	1	0	5	13	1	3	2	0	0	0	3	1	0	9	3	3	0	3
Gene266	77	430	1599	1157	1123	512	719	1201	909	525	55	827	1452	760	342	1075	836	1463
Gene267	9	66	3	21	25	74	33	37	28	121	67	79	7	59	98	78	78	36
Gene268	93	180	315	232	24	14	335	444	303	27	13	28	29	14	0	27	14	179
Gene269	36	7	2	11	7	2	1	15	23	4	3	2	3	4	2	2	1	19
Gene270	0	1	0	0	0	2	0	4	1	0	21	0	0	1	1	10	0	0
Gene271	0	2	1	5	6	21	1	8	0	2	0	12	7	0	1	12	4	0
Gene272	8	4	1	3	0	8	11	2	0	8	5	2	2	0	11	1	33	7
Gene273	37	39	31	27	2	11	33	46	14	20	7	20	15	15	0	17	16	17
Gene274	16	10	3	1	19	34	1	9	23	89	35	110	48	26	113	217	1	10
Gene275	356	299	206	420	139	475	97	382	35	747	670	489	483	538	453	643	525	168
Gene276	6	48	132	152	70	118	63	58	56	58	2	69	170	40	48	127	83	118
Gene277	0	0	1	2	3	13	10	2	2	66	4	13	0	142	22	131	2	20
Gene278	17	7	38	11	1	21	40	30	36	49	33	63	29	56	1	33	23	34
Gene279	11	22	13	25	36	10	2	12	71	19	6	9	2	10	11	1	0	2
Gene280	23	34	5	17	3	30	36	11	0	26	119	71	133	75	23	15	67	19
Gene281	1	5	0	19	25	52	2	2	5	64	2	25	40	116	60	97	51	2
Gene282	18	4	0	3	12	9	1	7	2	3	1	3	0	0	0	7	1	13
Gene283	6	12	2	11	0	2	7	5	3	1	8	0	10	1	1	4	6	0
Gene284	85	94	80	91	172	53	9	51	146	61	197	104	56	87	63	22	18	68
Gene285	6	8	5	1	1	2	5	8	0	3	5	0	18	2	1	1	1	10
Gene286	2	30	86	43	105	50	23	37	33	28	0	19	17	44	8	41	15	38
Gene287	42	23	3	25	61	23	22	85	22	14	28	15	5	22	38	34	11	45
Gene288	4	18	13	7	5	56	6	15	11	11	16	9	43	11	0	6	15	5
Gene289	8	4	1	36	5	9	3	1	20	15	19	26	19	9	17	23	2	3
Gene290	67	91	43	38	30	201	31	75	8	96	304	638	123	121	203	102	81	49
Gene291	1	17	37	69	37	34	16	18	48	83	17	54	100	52	250	130	95	13
Gene292	0	1	3	2	0	10	0	1	0	17	1	0	3	8	13	0	5	1
Gene293	100	77	104	57	3	69	112	56	88	42	25	50	33	6	4	22	49	81
Gene294	0	16	14	14	2	0	0	3	7	1	7	4	4	9	10	7	1	2
Gene295	22	12	13	30	47	23	60	9	4	34	10	29	9	10	17	10	28	36
Gene296	0	5	50	6	6	13	11	10	8	2	3	0	8	35	4	5	4	13
Gene297	12	10	3	4	36	7	19	16	40	10	7	9	0	3	14	3	5	49
Gene298	7	21	12	24	1	8	35	30	13	14	7	5	24	4	0	0	5	6
Gene299	10	5	4	14	11	4	0	2	13	31	9	23	16	6	20	53	4	5
Gene300	70	48	108	129	71	243	99	55	4	87	204	183	225	289	184	307	412	59
Gene301	97	440	425	619	561	1020	526	491	662	386	101	679	1050	1123	639	961	811	746
Gene302	96	135	8	46	122	557	124	191	197	406	258	290	33	463	403	340	352	232
Gene303	14	160	51	64	8	62	90	120	82	124	58	39	132	109	2	129	71	97
Gene304	25	36	36	54	11	12	3	17	18	31	15	32	17	19	14	5	0	24
Gene305	335	229	338	515	304	502	299	206	39	506	673	729	820	871	369	913	355	509
Gene306	0	0	4	6	1	1	11	12	18	0	0	0	4	4	1	7	1	7
Gene307	4	5	4	11	10	7	14	19	1	9	5	2	1	3	2	3	6	15
Gene308	87	284	275	103	22	539	160	228	149	381	384	333	281	441	11	282	366	183
Gene309	23	36	10	16	21	3	0	26	12	10	12	25	24	13	12	5	1	7
Gene310	0	0	0	0	5	1	0	1	0	0	1	0	0	0	0	2	0	10
Gene311	2	36	18	27	23	62	3	62	42	49	2	24	23	39	62	20	46	53
Gene312	111	35	8	56	59	156	69	67	75	192	103	93	11	90	76	120	34	70
Gene313	60	65	50	29	9	202	38	71	130	122	122	231	232	120	6	27	160	89
Gene314	14	1	11	5	15	2	0	1	1	4	8	1	2	1	3	2	0	1
Gene315	59	49	44	91	120	130	114	27	5	120	173	203	120	168	174	113	205	134
Gene316	1	0	5	2	4	38	4	1	9	7	4	25	49	24	33	52	60	9
Gene317	547	436	28	332	505	4287	399	515	526	4661	7931	2289	670	3922	4381	7436	9658	684
Gene318	106	125	264	47	14	56	179	157	150	40	49	36	27	32	12	36	33	64
Gene319	15	10	1	21	7	1	1	15	4	14	5	5	6	3	8	2	0	5
Gene320	5	4	6	9	28	7	10	7	4	1	5	9	2	5	2	12	11	13
Gene321	2	5	6	44	14	6	4	30	25	4	0	0	10	9	5	11	3	27
Gene322	0	0	0	0	0	0	1	0	2	1	1	1	0	1	0	1	1	0
Gene323	21	13	18	7	0	4	12	5	6	1	3	2	1	0	0	0	9	1
Gene324	38	15	23	41	27	30	0	27	11	6	30	11	30	1	22	11	0	55
Gene325	1	1	4	1	3	11	17	4	0	9	4	8	1	3	4	25	40	3
Gene326	6	55	54	50	56	162	83	84	58	42	21	76	157	152	140	261	69	28
Gene327	0	1	0	0	0	6	0	0	1	0	1	0	2	0	0	0	0	0
Gene328	17	12	21	15	1	30	24	18	13	9	1	46	15	6	9	24	6	2
Gene329	14	9	4	7	15	9	0	50	4	11	68	34	5	22	14	11	1	12
Gene330	5	7	2	27	7	8	34	9	6	17	8	19	7	10	4	17	5	5
Gene331	2	46	48	18	29	41	14	53	35	17	2	10	39	49	41	96	22	31
Gene332	214	151	33	117	240	179	225	133	152	379	264	112	29	77	355	129	299	109
Gene333	10	19	15	5	2	2	24	39	13	7	1	5	3	0	0	3	0	13
Gene334	23	8	48	3	5	5	2	10	2	11	8	18	4	10	25	1	1	6
Gene335	4	26	10	3	9	5	28	9	1	9	2	5	3	6	14	29	55	15
Gene336	2	0	23	4	8	30	13	3	11	10	2	11	19	89	36	65	22	20
